url,title,genre,views,rating
https://www.webtoons.com/en/fantasy/aza/list?title_no=3994,Aza,Fantasy,2.8M,9.73
https://www.webtoons.com/en/romance/date-first-love-later/list?title_no=3345,"Date First, Love Later",Romance,9.8M,9.61
https://www.webtoons.com/en/action/study-group/list?title_no=3595,Study Group,Action,8.1M,9.76
https://www.webtoons.com/en/drama/after-school-lessons-for-unripe-apples/list?title_no=3093,After School Lessons,Drama,7.7M,9.92
https://www.webtoons.com/en/action/viral-hit/list?title_no=2268,Viral Hit,Action,46.6M,9.84
https://www.webtoons.com/en/romance/another-love/list?title_no=3964,Another Love,Romance,4.8M,9.68
https://www.webtoons.com/en/romance/time-and-reason/list?title_no=4210,Time and Reason,Romance,"435,910",8.66
https://www.webtoons.com/en/fantasy/time-roulette/list?title_no=4313,Time Roulette,Fantasy,"413,435",9.24
https://www.webtoons.com/en/fantasy/the-greatest-estate-developer/list?title_no=3596,The Greatest Estate Developer,Fantasy,5.8M,9.89
https://www.webtoons.com/en/romance/to-you-who-swallowed-a-star/list?title_no=2533,To You Who Swallowed a Star,Romance,22.2M,9.51
https://www.webtoons.com/en/comedy/boyfriend-of-the-dead/list?title_no=1102,Boyfriend of the Dead,Comedy,411.8M,9.74
https://www.webtoons.com/en/drama/odd-girl-out/list?title_no=1420,Odd Girl Out,Drama,159.9M,9.84
https://www.webtoons.com/en/romance/seasonsofblossom/list?title_no=2509,Seasons of Blossom,Romance,44.9M,9.87
https://www.webtoons.com/en/fantasy/from-a-knight-to-a-lady/list?title_no=3164,From a Knight to a Lady,Fantasy,14.2M,9.73
https://www.webtoons.com/en/drama/lookism/list?title_no=1049,Lookism,Drama,564.4M,9.78
https://www.webtoons.com/en/romance/bitten-contract/list?title_no=3689,Bitten Contract,Romance,9M,9.66
https://www.webtoons.com/en/drama/fictional-skin/list?title_no=3272,Fictional Skin,Drama,3.1M,9.77
https://www.webtoons.com/en/romance/secretary-out-of-order/list?title_no=3790,Secretary Out-of-Order,Romance,11.3M,9.14
https://www.webtoons.com/en/drama/archie-comics-big-ethel-energy/list?title_no=3363,Archie Comics:,Drama,17.7M,8.64
https://www.webtoons.com/en/drama/the-four-of-them/list?title_no=1524,The Four of Them,Drama,86.8M,9.58
https://www.webtoons.com/en/mystery/purple-hyacinth/list?title_no=1621,Purple Hyacinth,Mystery,98.5M,9.91
https://www.webtoons.com/en/action/weakhero/list?title_no=1726,Weak Hero,Action,165.6M,9.84
https://www.webtoons.com/en/fantasy/your-throne/list?title_no=2009,Your Throne,Fantasy,111.2M,9.81
https://www.webtoons.com/en/drama/my-dud-to-stud-boyfriend/list?title_no=4353,My Dud to Stud Boyfriend,Drama,"669,073",6.5
https://www.webtoons.com/en/drama/wished-you-were-dead/list?title_no=3591,Wished You Were Dead,Drama,13.7M,9.13
https://www.webtoons.com/en/romance/perfect-marriage-revenge/list?title_no=3484,Perfect Marriage Revenge,Romance,20.9M,9.63
https://www.webtoons.com/en/drama/acception/list?title_no=1513,Acception,Drama,142.7M,9.02
https://www.webtoons.com/en/romance/the-runway/list?title_no=3691,The RUNWAY,Romance,14.6M,9.43
https://www.webtoons.com/en/romance/edith/list?title_no=1536,Edith,Romance,112.3M,9.67
https://www.webtoons.com/en/drama/get-schooled/list?title_no=2684,Get Schooled,Drama,34.2M,9.8
https://www.webtoons.com/en/drama/i-love-yoo/list?title_no=986,I Love Yoo,Drama,558.5M,9.76
https://www.webtoons.com/en/romance/age-matters/list?title_no=1364,Age Matters,Romance,381.8M,9.78
https://www.webtoons.com/en/romance/sixth-sense-kiss/list?title_no=2921,Sixth Sense Kiss,Romance,41M,9.76
https://www.webtoons.com/en/action/teenage-mercenary/list?title_no=2677,Teenage Mercenary,Action,47.3M,9.86
https://www.webtoons.com/en/romance/maybe-meant-to-be/list?title_no=4208,Maybe Meant to Be,Romance,2.2M,9.81
https://www.webtoons.com/en/romance/reunion/list?title_no=3416,Reunion,Romance,13.1M,9.77
https://www.webtoons.com/en/romance/midnight-poppy-land/list?title_no=1798,Midnight Poppy Land,Romance,205.2M,9.8
https://www.webtoons.com/en/fantasy/the-remarried-empress/list?title_no=2135,The Remarried Empress,Fantasy,246M,9.87
https://www.webtoons.com/en/romance/truebeauty/list?title_no=1436,True Beauty,Romance,888.8M,9.52
